login,password,role,favoriteItems,phoneNum
mfarrears0,dshimoni0,manager,Lemonade,951-913-6078
ckohlert1,lvonhelmholtz1,driver,Nachos,807-458-4636
twimms2,ivanzon2,driver,Nachos,626-106-1038
lbeldom3,bconrath3,customer,Deluxe Pizza,905-410-5557
gjadczak4,cschreurs4,manager,Meat Lover's Pizza,596-743-6468
imaccawley5,hventham5,driver,Water Bottle,583-861-6179
emquharge6,channing6,driver,Meat Lover's Pizza,775-286-3205
strytsman7,jratnege7,driver,Spicy Chicken Sausage Pizza,764-966-3273
clitherborough8,tyallop8,driver,Pacific Veggie Pizza,836-142-6422
adifrancecshi9,fsharp9,driver,Ice Cream,527-955-9454
mestoilea,rturvillea,manager,Brownie,801-885-3106
pdenchb,asirmondb,driver,Water Bottle,730-182-9442
jbalaamc,hsuttonc,customer,Pacific Veggie Pizza,587-957-4408
ksawelld,kcreigand,manager,Deluxe Pizza,289-714-8668
ilamballe,jdumbletone,customer,Vegetarian Pizza,353-759-2498
lassurf,ggreetlandf,driver,Breadsticks,561-359-9083
amcmeekang,hcortezg,manager,Caesar Salad,505-409-1623
ochessonh,wsolletth,manager,Spicy Chicken Sausage Pizza,645-216-6663
ghardacrei,gcrushami,driver,Hawaiian Pizza,465-792-6735
giannoj,vfortnumj,driver,Lemonade,324-658-6401
pzellnerk,rmcdaidk,driver,Wisconsin 6-Cheese Pizza,300-711-2118
nhaskerl,ssiggensl,manager,Brownie,835-670-5543
gblackfordm,dshannahanm,manager,Deluxe Pizza,990-543-7054
smorcomben,kdrakersn,customer,Spicy Chicken Sausage Pizza,269-949-1039
rbandyo,cpendreigho,manager,Pacific Veggie Pizza,421-770-5521
kdunyp,amaruskap,driver,Nachos,366-206-4190
rfonteq,tbeirneq,driver,Hawaiian Pizza,762-345-8378
egoodbairnr,bstopper,manager,Coca-Cola,750-913-8112
istitts,dmenlows,customer,Pesto Margherita Pizza,703-674-6015
zlangsburyt,tmanselt,driver,Spicy Chicken Sausage Pizza,128-173-8659
nsissonsu,dmcclintonu,driver,Spicy Chicken Sausage Pizza,177-260-9472
npetersenv,mcanerov,manager,Pacific Veggie Pizza,783-789-2981
gantoshinw,cebenezerw,driver,Water Bottle,391-787-3351
fabramofx,wtribellx,customer,Buffalo Chicken Pizza,298-290-5138
mmayory,skermany,manager,Pesto Margherita Pizza,308-333-2855
sgligorijevicz,lmoorsz,customer,Spinach & Feta Pizza,742-195-9122
ahryniewicki10,vhrycek10,customer,Water Bottle,996-276-9728
kadamczewski11,emapes11,manager,Sprite,419-361-2198
apasso12,jgoom12,customer,BBQ Chicken Pizza,583-307-3499
rdeaton13,lattoc13,manager,Deluxe Pizza,579-637-6780
aosgardby14,ssarginson14,customer,Wisconsin 6-Cheese Pizza,190-324-0523
asteanyng15,szealey15,manager,Pepsi,611-627-4378
cdemare16,amoar16,manager,Vegetarian Pizza,261-494-8368
mschwant17,gdrayn17,customer,Meat Lover's Pizza,496-987-8371
rgarm18,wmarshal18,customer,Meat Lover's Pizza,947-698-0430
byurlov19,jtriner19,customer,BBQ Chicken Pizza,478-654-7674
